case_id,swsd_segment_id,target_id,manual_relation_type,selected_ids,comment,source_manual_table,source_manual_xlsx
5524176501019109_5524182406597110,,609284657,1v1_rcsd_junction,5855296278770556,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,3086610,1v1_rcsd_junction,5855295910117642,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,609020493,1v1_rcsd_junction,5855295910117645,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,61493884,1v1_rcsd_junction,5855296278770610,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,606310251,1v1_rcsd_junction,5855296278770455,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,84957918,1v1_rcsd_junction,5855296278770406,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,61493886,1v1_rcsd_junction,5855296278770514,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,609309868,1v1_rcsd_junction,5855296278770440,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,501021045,1v1_rcsd_junction,5855296278770531,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,501021044,1v1_rcsd_junction,5855296278770516,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,604021088,1v1_rcsd_junction,5855296278770613,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,620020914,1v1_rcsd_junction,5855296278770613,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,508350640,1v1_rcsd_junction,5855296278770582,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,611463745,1v1_rcsd_road,5855295910117428,user confirmed relation,p02_user_20260714,
5524176501019109_5524182406597110,,521458225,1vN_rcsd_road,5855295910117425|5855295910117512,user corrected to 1vN relation,p02_user_20260714,
5524176501019109_5524182406597110,,612028267,1vN_rcsd_road,5855295910117438|5855296278768745,user corrected to 1vN relation,p02_user_20260714,
