stage,pair_id,road_id,layer_role,trunk_mode
STEP5A,STEP5A:1001064__1043181,613833106,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001073__1036658,49422381,segment_body,counterclockwise_loop
STEP5A,STEP5A:1020124__1020125,1029633,segment_body,counterclockwise_loop
STEP5A,STEP5A:1020125__39546430,524191459,segment_body,counterclockwise_loop
STEP5A,STEP5A:1020141__1036656,1073121,segment_body,counterclockwise_loop
STEP5A,STEP5A:1020141__1039490,1051457,segment_body,counterclockwise_loop
STEP5A,STEP5A:1029592__1029593,614898426,segment_body,counterclockwise_loop
STEP5A,STEP5A:1030081__1043181,1033802,segment_body,counterclockwise_loop
STEP5A,STEP5A:1030081__1043181,618747926,segment_body,counterclockwise_loop
STEP5A,STEP5A:1030081__1043181,618747927,segment_body,counterclockwise_loop
STEP5A,STEP5A:1036658__47215419,1031320,segment_body,counterclockwise_loop
STEP5A,STEP5A:1036658__47215419,1031329,segment_body,counterclockwise_loop
STEP5A,STEP5A:1036658__47215419,1073128,segment_body,counterclockwise_loop
STEP5A,STEP5A:1036658__47215419,34914823,segment_body,counterclockwise_loop
STEP5A,STEP5A:1036658__47215419,49422407,segment_body,counterclockwise_loop
STEP5A,STEP5A:1036658__47215419,518874003,segment_body,counterclockwise_loop
STEP5A,STEP5A:1039486__1039488,1051452,segment_body,counterclockwise_loop
STEP5A,STEP5A:1039486__1039488,1051472,segment_body,counterclockwise_loop
STEP5A,STEP5A:1039486__613762500,519661723,segment_body,counterclockwise_loop
STEP5A,STEP5A:21787602__47215427,58271079,segment_body,counterclockwise_loop
STEP5A,STEP5A:47215427__612640212,617799404,segment_body,counterclockwise_loop
STEP5A,STEP5A:612301465__613762500,519675345,segment_body,counterclockwise_loop
STEP5A,STEP5A:957248__1001064,104516273,segment_body,counterclockwise_loop
STEP5A,STEP5A:957248__1001064,1049609,segment_body,counterclockwise_loop
STEP5B,STEP5B:1001064__1043181,1059890,segment_body,counterclockwise_loop
STEP5B,STEP5B:1001064__1043181,1059891,segment_body,counterclockwise_loop
STEP5B,STEP5B:1001070__612640212,627793737,segment_body,counterclockwise_loop
STEP5B,STEP5B:1001081__1004211,1027992,segment_body,counterclockwise_loop
STEP5B,STEP5B:1004746__612640212,627793738,segment_body,counterclockwise_loop
STEP5B,STEP5B:1014253__1036655,528876005,segment_body,counterclockwise_loop
STEP5B,STEP5B:1014522__21787698,58322248,segment_body,counterclockwise_loop
STEP5B,STEP5B:1014526__61704026,9097627,segment_body,counterclockwise_loop
STEP5B,STEP5B:1020119__1020121,1033653,segment_body,counterclockwise_loop
STEP5B,STEP5B:1020120__1020121,66969787,segment_body,counterclockwise_loop
STEP5B,STEP5B:1020121__1035968,617354887,segment_body,counterclockwise_loop
STEP5B,STEP5B:1020121__61704258,66969788,segment_body,counterclockwise_loop
STEP5B,STEP5B:1020141__1020142,49422419,segment_body,counterclockwise_loop
STEP5B,STEP5B:1029592__1040012,1056570,segment_body,counterclockwise_loop
STEP5B,STEP5B:21787603__47215427,58271078,segment_body,counterclockwise_loop
STEP5B,STEP5B:21787695__513248310,618747925,segment_body,counterclockwise_loop
STEP5B,STEP5B:39546457__47130796,49348687,segment_body,counterclockwise_loop
STEP5B,STEP5B:39546457__47130796,49348690,segment_body,counterclockwise_loop
STEP5B,STEP5B:47130783__58609396,34914830,segment_body,counterclockwise_loop
STEP5B,STEP5B:520667106__607668098,521929473,segment_body,counterclockwise_loop
STEP5B,STEP5B:58609401__72717913,527799764,segment_body,counterclockwise_loop
STEP5B,STEP5B:612301465__613762500,629657215,segment_body,counterclockwise_loop
STEP5B,STEP5B:612301465__623258960,519675346,segment_body,counterclockwise_loop
STEP5B,STEP5B:61250174__61250175,9097534,segment_body,counterclockwise_loop
STEP5B,STEP5B:61250174__61250176,9097544,segment_body,counterclockwise_loop
STEP5B,STEP5B:61250174__61250177,9097543,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,1040458,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,1053366,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,1084540,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,1084543,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,29848659,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,605977273,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,62141861,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,627307581,segment_body,counterclockwise_loop
STEP5C,STEP5C:997356__39546395,65792057,segment_body,counterclockwise_loop
Step2,S2:1019769__1030081,1047540,segment_body,counterclockwise_loop
Step2,S2:1019769__1030081,29848656,segment_body,counterclockwise_loop
Step2,S2:1026960__39546395,1029941,segment_body,counterclockwise_loop
Step2,S2:1026960__39546395,1092122,segment_body,counterclockwise_loop
Step2,S2:1026960__39546395,524194701,segment_body,counterclockwise_loop
Step2,S2:1029577__1029582,1066706,segment_body,counterclockwise_loop
Step2,S2:1029577__1029582,15583469,segment_body,counterclockwise_loop
Step2,S2:1039488__1039495,1051458,segment_body,counterclockwise_loop
Step2,S2:1039488__1039495,1051466,segment_body,counterclockwise_loop
Step2,S2:1039488__1039495,1051469,segment_body,counterclockwise_loop
Step2,S2:1039488__1039495,1051470,segment_body,counterclockwise_loop
Step2,S2:1039494__1039495,1051461,segment_body,counterclockwise_loop
Step2,S2:1039494__1039495,1051467,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,1031286,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,1031323,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,1031328,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,1038976,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,1049620,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,528146301,segment_body,counterclockwise_loop
Step2,S2:997356__1019747,610101958,segment_body,counterclockwise_loop
Step2,S2:997356__1029576,1040461,segment_body,counterclockwise_loop
Step2,S2:997356__1029576,1052043,segment_body,counterclockwise_loop
Step2,S2:997356__1029576,511173276,segment_body,counterclockwise_loop
Step2,S2:997356__1029576,517797026,segment_body,counterclockwise_loop
Step2,S2:997356__1029576,617799410,segment_body,counterclockwise_loop
Step2,S2:997356__1029576,621691970,segment_body,counterclockwise_loop
Step4,STEP4:1001056__1001057,1054054,segment_body,counterclockwise_loop
Step4,STEP4:1001075__1039494,49422387,segment_body,counterclockwise_loop
Step4,STEP4:1001075__1039494,49422388,segment_body,counterclockwise_loop
Step4,STEP4:1013549__1013550,621929340,segment_body,counterclockwise_loop
Step4,STEP4:1013549__1013550,621929342,segment_body,counterclockwise_loop
Step4,STEP4:1013549__1013550,64919148,segment_body,counterclockwise_loop
Step4,STEP4:1013550__1013551,15583471,segment_body,counterclockwise_loop
Step4,STEP4:1013550__1013551,84945873,segment_body,counterclockwise_loop
Step4,STEP4:1029569__26219678,517113760,segment_body,counterclockwise_loop
Step4,STEP4:1029569__26219678,527115614,segment_body,counterclockwise_loop
Step4,STEP4:1029569__26219678,617116914,segment_body,counterclockwise_loop
Step4,STEP4:1029569__26219678,62603816,segment_body,counterclockwise_loop
Step4,STEP4:1029569__26219678,62603817,segment_body,counterclockwise_loop
Step4,STEP4:1029569__26219678,627110418,segment_body,counterclockwise_loop
Step4,STEP4:1029574__1039494,1051462,segment_body,counterclockwise_loop
Step4,STEP4:1029574__1039494,1051464,segment_body,counterclockwise_loop
Step4,STEP4:1029577__1049356,622049909,segment_body,counterclockwise_loop
Step4,STEP4:1029581__1029582,1056564,segment_body,counterclockwise_loop
Step4,STEP4:957257__1001057,58270436,segment_body,counterclockwise_loop
