case_id,swsd_segment_id,trigger_swsd_node_ids,t05_status,t05_base_ids,baseline_formal_fail,baseline_mapping_aligned_to_t05,max_raw_mapping_gap_m,surface_blocker,quality_conclusion
1885118,1885164_1914996,1885164,0,5384379656965931,true,true,9.648,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
1885118,1885164_1914997,1885164,0,5384379656965931,true,true,9.648,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
1885118,1885243_512303265,512303265,0,5384393951027669,true,false,44.598,manual_multi_rcsd_candidate,baseline_mapping_ambiguous_or_misaligned
1885118,1885281_1888230,1888230,0,5384427840673305,true,true,7.504,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
1885118,1888230_74295183,1888230,0,5384427840673305,true,true,7.504,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
1885118,1888230_509669264,1888230,0,5384427840673305,true,true,7.504,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
1885118,62397379_501859233,62397379,0,5387420393673792,true,true,34.311,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
1885118,502117007_512303265,512303265,0,5384393951027669,true,true,44.598,manual_multi_rcsd_candidate,baseline_frcsd_transition_ambiguous
609214532,952793_59602154,59602154,0,5388426993599169,true,true,25.304,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
609214532,955928_955939,955928|955939,0,5375862301005744|5384382743976565,true,false,531.987,blocked_by_patch_conflict,baseline_mapping_misaligned_at_both_endpoints
609214532,955939_12836477,955939,0,5384382743976565,true,true,531.987,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
609214532,984542_55196593,55196593,0,5396543273306626,true,true,293.954,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
609214532,12836484_955928,955928,0,5375862301005744,true,true,525.016,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
609214532,55196593_520049473,55196593,0,5396543273306626,true,false,293.954,blocked_by_patch_conflict,baseline_mapping_misaligned
609214532,59602154_59602155,59602154,0,5388426993599169,true,true,25.304,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
609214532,523835021_623581091,523835021,1,,true,false,32.871,manual_no_surface_evidence,baseline_t05_anchor_invalid_and_transition_unresolved
74155468,991220_1036486,1036486,0,5396376373560325,true,true,9.933,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
74155468,1036486_991260,1036486,0,5396376373560325,true,true,9.933,blocked_by_patch_conflict,baseline_frcsd_transition_unclosed
